n_hidden = 64
max level = 3
conv size = 64
fp len = 0
batch_size = 50
max_epoch = 200000
test_interval = 1000
report_interval = 100
save_interval = 10000
lr = 0.001
l2_penalty = 0
momentum = 0.9
init iter = 0
device id = 0
loading indexes data/ENZYMES/10fold_idx/train_idx-1.txt
loading indexes data/ENZYMES/10fold_idx/test_idx-1.txt
dimension of node feature: 2
testing
iter: 14100	ReduceMean_21:out_0: 0.673558	ReduceMean_25:out_0: 0.72
iter: 14200	ReduceMean_21:out_0: 0.893217	ReduceMean_25:out_0: 0.58
iter: 14300	ReduceMean_21:out_0: 0.973313	ReduceMean_25:out_0: 0.62
iter: 14400	ReduceMean_21:out_0: 0.524819	ReduceMean_25:out_0: 0.8
iter: 14500	ReduceMean_21:out_0: 0.636043	ReduceMean_25:out_0: 0.8
iter: 14600	ReduceMean_21:out_0: 0.5045	ReduceMean_25:out_0: 0.84
iter: 14700	ReduceMean_21:out_0: 0.542409	ReduceMean_25:out_0: 0.84
iter: 14800	ReduceMean_21:out_0: 0.324908	ReduceMean_25:out_0: 0.92
iter: 14900	ReduceMean_21:out_0: 0.571256	ReduceMean_25:out_0: 0.74
testing
test@iter: 15000	ReduceMean_21:out_0: 2.09085	ReduceMean_25:out_0: 0.533333
iter: 15000	ReduceMean_21:out_0: 0.685369	ReduceMean_25:out_0: 0.76
iter: 15100	ReduceMean_21:out_0: 0.491585	ReduceMean_25:out_0: 0.84
iter: 15200	ReduceMean_21:out_0: 0.387277	ReduceMean_25:out_0: 0.86
iter: 15300	ReduceMean_21:out_0: 0.525524	ReduceMean_25:out_0: 0.8
iter: 15400	ReduceMean_21:out_0: 0.788069	ReduceMean_25:out_0: 0.66
iter: 15500	ReduceMean_21:out_0: 0.369878	ReduceMean_25:out_0: 0.9
iter: 15600	ReduceMean_21:out_0: 0.524711	ReduceMean_25:out_0: 0.82
iter: 15700	ReduceMean_21:out_0: 0.375388	ReduceMean_25:out_0: 0.88
iter: 15800	ReduceMean_21:out_0: 0.722973	ReduceMean_25:out_0: 0.76
iter: 15900	ReduceMean_21:out_0: 0.631862	ReduceMean_25:out_0: 0.76
testing
test@iter: 16000	ReduceMean_21:out_0: 2.53889	ReduceMean_25:out_0: 0.566667
iter: 16000	ReduceMean_21:out_0: 0.340685	ReduceMean_25:out_0: 0.88
iter: 16100	ReduceMean_21:out_0: 0.245841	ReduceMean_25:out_0: 0.94
iter: 16200	ReduceMean_21:out_0: 0.314372	ReduceMean_25:out_0: 0.88
iter: 16300	ReduceMean_21:out_0: 0.364972	ReduceMean_25:out_0: 0.9
iter: 16400	ReduceMean_21:out_0: 0.46206	ReduceMean_25:out_0: 0.82
iter: 16500	ReduceMean_21:out_0: 0.3102	ReduceMean_25:out_0: 0.9
iter: 16600	ReduceMean_21:out_0: 0.311455	ReduceMean_25:out_0: 0.9
iter: 16700	ReduceMean_21:out_0: 0.182695	ReduceMean_25:out_0: 0.96
iter: 16800	ReduceMean_21:out_0: 0.398628	ReduceMean_25:out_0: 0.84
iter: 16900	ReduceMean_21:out_0: 0.168963	ReduceMean_25:out_0: 0.98
testing
test@iter: 17000	ReduceMean_21:out_0: 3.0644	ReduceMean_25:out_0: 0.483333
iter: 17000	ReduceMean_21:out_0: 0.378305	ReduceMean_25:out_0: 0.86
iter: 17100	ReduceMean_21:out_0: 0.271506	ReduceMean_25:out_0: 0.96
iter: 17200	ReduceMean_21:out_0: 0.120186	ReduceMean_25:out_0: 0.98
iter: 17300	ReduceMean_21:out_0: 0.17986	ReduceMean_25:out_0: 0.94
iter: 17400	ReduceMean_21:out_0: 0.21353	ReduceMean_25:out_0: 0.9
iter: 17500	ReduceMean_21:out_0: 0.148502	ReduceMean_25:out_0: 0.96
iter: 17600	ReduceMean_21:out_0: 0.272047	ReduceMean_25:out_0: 0.9
iter: 17700	ReduceMean_21:out_0: 0.2169	ReduceMean_25:out_0: 0.94
iter: 17800	ReduceMean_21:out_0: 0.220964	ReduceMean_25:out_0: 0.94
iter: 17900	ReduceMean_21:out_0: 0.753992	ReduceMean_25:out_0: 0.72
testing
test@iter: 18000	ReduceMean_21:out_0: 2.84107	ReduceMean_25:out_0: 0.583333
iter: 18000	ReduceMean_21:out_0: 0.212667	ReduceMean_25:out_0: 0.96
iter: 18100	ReduceMean_21:out_0: 0.100847	ReduceMean_25:out_0: 0.98
iter: 18200	ReduceMean_21:out_0: 0.227122	ReduceMean_25:out_0: 0.92
iter: 18300	ReduceMean_21:out_0: 0.130003	ReduceMean_25:out_0: 0.98
iter: 18400	ReduceMean_21:out_0: 0.170453	ReduceMean_25:out_0: 0.92
iter: 18500	ReduceMean_21:out_0: 0.492316	ReduceMean_25:out_0: 0.86
iter: 18600	ReduceMean_21:out_0: 0.196995	ReduceMean_25:out_0: 0.94
iter: 18700	ReduceMean_21:out_0: 0.144712	ReduceMean_25:out_0: 0.98
iter: 18800	ReduceMean_21:out_0: 0.12619	ReduceMean_25:out_0: 0.96
iter: 18900	ReduceMean_21:out_0: 0.0530146	ReduceMean_25:out_0: 0.98
testing
test@iter: 19000	ReduceMean_21:out_0: 3.41283	ReduceMean_25:out_0: 0.6
iter: 19000	ReduceMean_21:out_0: 0.0255942	ReduceMean_25:out_0: 1
iter: 19100	ReduceMean_21:out_0: 0.148587	ReduceMean_25:out_0: 0.98
